Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,Molex Microfit,CONN_SD-43650-006_02_MOL,98.0611,-86.7338,-90,bottom
J2,Conn_02x12_Odd_Even,IDC-Header_2x12_P2.54mm_Vertical,83.82,-96.52,0,bottom
J4,Conn_02x12_Odd_Even,PinHeader_2x12_P2.54mm_Vertical,144.56,-113.32,0,bottom
J7,Molex Microfit,CONN_SD-43650-006_02_MOL,108.14,-84.558699,0,bottom
J8,Molex Microfit,CONN_SD-43650-006_02_MOL,108.29,-96.31,0,bottom
J9,Molex Microfit,CONN_SD-43650-006_02_MOL,96.388699,-100.09,-90,bottom
J3,Molex6,CONN_0039281063_5566-06A_MOL,98.280002,-72.385101,0,top
J5,DB25_Socket,DSUB-TH_DS1034-25FUNSI44,121.92,-81.28,90,top
J6,DB25_Socket,DSUB-TH_DS1034-25FUNSI44,165.1,-81.28,90,top
